"ID";"Site";"Habitat";"Mg24";"Al27";"Cr52";"Fe57";"Cu65";"Zn66";"Ba138";"Pb208";"pred_adult_core"
"ID111";"AK";"Non-upwelling";275.8116024;0.892602546;34.36101003;11.43831826;0.191616638;3.612572474;1.420455885;0.003799367;"Non-upwelling"
"ID111";"AK";"Non-upwelling";304.3219681;1.503564693;39.88290502;24.61183073;0.193144373;2.133853167;1.779226193;0.002974065;"Non-upwelling"
"ID111";"AK";"Non-upwelling";262.5830226;3.379031205;32.71915896;21.08838943;0.173852511;0.953929464;1.971549955;0.000965464;"Non-upwelling"
"ID111";"AK";"Non-upwelling";276.7097698;3.502658926;35.92418829;22.40621879;0.241707462;0.388781868;2.952901254;0.000460124;"Non-upwelling"
"ID111";"AK";"Non-upwelling";306.5248586;3.620911528;33.95913926;18.3007285;0.028441074;0.144983121;3.137476545;0.001562197;"Upwelling"
"ID111";"AK";"Non-upwelling";291.6293105;0.623453735;32.30208593;25.58805691;0.166505545;0.779471049;2.819497717;0.003135415;"Non-upwelling"
"ID111";"AK";"Non-upwelling";285.9190281;0.376553242;34.98505204;22.66415269;0.288773001;4.877282696;2.572365991;0.004495502;"Non-upwelling"
"ID111";"AK";"Non-upwelling";287.6270745;3.986419573;31.52272864;15.10220464;0.124125146;0.607142834;2.487177525;0.00141215;"Non-upwelling"
"ID111";"AK";"Non-upwelling";270.4857074;4.110047293;32.33066393;27.38991281;0.220337256;0.674260855;2.357729033;0.00178161;"Non-upwelling"
"ID111";"AK";"Non-upwelling";293.1426395;4.233675014;34.35938878;25.10335811;0.012753565;0.661293576;1.464232567;0.000823778;"Non-upwelling"
"ID111";"AK";"Non-upwelling";267.593034;4.351927617;35.40657999;38.45391376;1.053921734;2.74152872;1.145636137;0.003696145;"Non-upwelling"
"ID111";"AK";"Non-upwelling";284.4342691;1.136990388;33.55015862;25.65162894;0.175437829;0.595290201;1.543268955;0.000586671;"Non-upwelling"
"ID111";"AK";"Non-upwelling";291.348967;0.784485148;34.37303404;24.96047695;0.275734551;0.576832813;1.471430968;0.002380542;"Non-upwelling"
"ID111";"AK";"Non-upwelling";261.6186358;4.717435661;34.83336275;23.17910251;0.281053103;2.059412779;1.051677871;0.00033522;"Non-upwelling"
"ID111";"AK";"Non-upwelling";294.3455946;4.841063382;34.08320087;26.29083575;0.261088384;0.889724251;0.826701341;0.03730497;"Non-upwelling"
"ID111";"AK";"Non-upwelling";287.5452392;4.959315984;36.99683008;33.15500019;0.250388302;0.866662907;0.715634545;0.0033328;"Non-upwelling"
"ID111";"AK";"Non-upwelling";265.0060069;0.058727795;33.408763;25.5071594;0.223564977;0.685158888;0.65249178;0.002231606;"Non-upwelling"
"ID111";"AK";"Non-upwelling";278.0679105;0.111837568;35.72741283;26.00065458;0.275297041;0.737038074;0.650402577;0.002409634;"Non-upwelling"
"ID111";"AK";"Non-upwelling";278.2316235;5.324824029;30.76330738;30.4147257;0.411532261;0.394805616;0.683898374;0.002619884;"Non-upwelling"
"ID111";"AK";"Non-upwelling";272.8289181;5.448451749;29.41342505;26.30460383;0.322659312;0.528291829;0.712694559;0.000329893;"Non-upwelling"
"ID111";"AK";"Non-upwelling";283.6080263;5.57207947;39.55122178;23.20793389;0.113688523;0.371246657;0.724552445;0.00242885;"Non-upwelling"
"ID112";"AK";"Non-upwelling";315.310447;3.465504855;9.152135769;20.71369118;0.04873761;1.003351631;1.737125067;0.002352021;"Upwelling"
"ID112";"AK";"Non-upwelling";287.2980419;3.425256038;16.60580389;21.8104084;0.069717265;0.561605121;1.630619914;0.002667583;"Upwelling"
"ID112";"AK";"Non-upwelling";290.350929;2.431233793;5.867313565;23.58849388;0.006860833;0.481894363;2.050123648;0.000769257;"Saline"
"ID112";"AK";"Non-upwelling";261.4324301;0.611658785;23.35900129;22.81538402;0.019018467;0.673700311;1.908709108;5.31e-05;"Non-upwelling"
"ID112";"AK";"Non-upwelling";293.6488696;1.661279187;1.863566959;18.12973668;0.08230003;0.785386335;1.746760079;0.002188579;"Upwelling"
"ID112";"AK";"Non-upwelling";317.5272862;0.966940321;9.122686659;11.17274707;0.084236624;0.188788416;1.434772513;0.001387774;"Brackish"
"ID112";"AK";"Non-upwelling";297.9210788;1.206987523;14.27079519;20.43557153;0.081626263;0.210297878;1.333343169;0.00137456;"Upwelling"
"ID112";"AK";"Non-upwelling";290.7035687;2.822159047;0.256360729;19.69595056;0.081281894;0.433992708;1.331800949;0.000724861;"Saline"
"ID112";"AK";"Non-upwelling";304.9718239;3.300145547;12.92221153;18.83830782;0.072208591;0.588860095;1.587224143;0.001176055;"Saline"
"ID112";"AK";"Non-upwelling";286.7223131;4.235749832;35.24818612;24.46668197;0.034401631;0.43315165;1.700365164;0.001388666;"Non-upwelling"
"ID112";"AK";"Non-upwelling";291.9361817;2.981920677;8.295315396;26.52429764;0.06046636;0.782935847;1.649493262;0.001135859;"Upwelling"
"ID112";"AK";"Non-upwelling";293.9238785;2.121807654;16.84809031;22.12236453;0.126025079;0.367362809;1.472581586;9.24e-05;"Non-upwelling"
"ID112";"AK";"Non-upwelling";300.6461225;2.432500172;12.41072702;30.57224512;0.232616054;0.558988679;1.24863845;0.001292875;"Non-upwelling"
"ID112";"AK";"Non-upwelling";311.6463075;2.032183156;4.780563643;20.95868162;0.152867902;0.304622987;1.267905746;0.00127906;"Upwelling"
"ID112";"AK";"Non-upwelling";276.3780821;0.329787025;43.40025854;23.84997148;0.088837739;0.302894608;1.046262716;0.001265847;"Non-upwelling"
"ID112";"AK";"Non-upwelling";279.9860041;0.902098111;26.21995304;17.54765527;0.078571857;0.498057923;1.214499115;0.001252032;"Non-upwelling"
"ID112";"AK";"Non-upwelling";285.7557153;1.267563292;13.81191996;10.90115017;0.078227488;0.248794547;1.260836473;0.000180929;"Saline"
"ID112";"AK";"Non-upwelling";289.0498142;3.931175601;8.257850789;24.32746359;0.07495663;0.329499802;1.173474557;0.000733568;"Saline"
"ID112";"AK";"Non-upwelling";284.7445346;0.568634632;10.41457134;12.25630323;0.071082074;0.445759965;0.973307107;0.00121119;"Upwelling"
"ID112";"AK";"Non-upwelling";323.5903039;1.46584928;9.976340701;18.46770383;0.266980848;0.368889238;0.992442784;0.002163542;"Upwelling"
"ID112";"AK";"Non-upwelling";278.9672116;2.182792899;21.28911218;20.50451311;0.076879956;0.125526426;1.06551662;0.001184162;"Upwelling"
"ID112";"AK";"Non-upwelling";278.2619637;0.793751254;23.7126139;15.17326388;0.076535587;0.184591365;1.284092572;0.001170347;"Upwelling"
"ID112";"AK";"Non-upwelling";289.4165181;2.720945807;12.93408193;20.84163546;0.076191217;0.227642873;1.660500286;0.001156533;"Saline"
"ID112";"AK";"Non-upwelling";276.6468273;1.015212217;9.684868644;6.488663543;0.075861821;0.063527404;1.517576507;0.001143319;"Brackish"
"ID112";"AK";"Non-upwelling";277.560171;6.945532432;17.0433398;12.38505517;0.033507724;0.324021972;1.362562749;0.000209293;"Upwelling"
"ID112";"AK";"Non-upwelling";272.292924;0.60183665;20.91872325;0.220180696;0.080187347;0.550820599;1.19303006;0.001061794;"Non-upwelling"
"ID112";"AK";"Non-upwelling";270.7061464;4.14231335;16.26644854;2.687350546;0.070305435;0.496980886;1.293610313;0.001456053;"Upwelling"
"ID112";"AK";"Non-upwelling";268.4269973;0.13944154;23.89749174;20.18375755;0.056197269;0.578415573;1.331038435;0.000444147;"Non-upwelling"
"ID112";"AK";"Non-upwelling";266.6350212;1.662851759;41.6509029;16.85934567;0.10910941;0.21014004;1.430908665;0.001075448;"Upwelling"
"ID112";"AK";"Non-upwelling";285.370297;0.3803221;16.32986155;9.778748204;0.07382555;0.440482042;1.483449295;0.000209415;"Non-upwelling"
"ID112";"AK";"Non-upwelling";282.0257241;1.874282308;10.43613222;9.268624861;0.07348118;0.671545119;1.432413454;0.00104782;"Saline"
"ID112";"AK";"Non-upwelling";268.8946075;1.844382603;16.97737344;12.76379134;0.073151784;0.314478017;1.260818426;0.001091693;"Upwelling"
"ID112";"AK";"Non-upwelling";261.2077661;1.813123821;27.87090418;4.686941108;0.072807414;0.226692782;1.060187646;0.001020791;"Upwelling"
"ID112";"AK";"Non-upwelling";280.066867;0.329764381;25.15607641;11.54529743;0.068477726;0.259108577;1.093500955;0.00037194;"Non-upwelling"
"ID112";"AK";"Non-upwelling";270.1381909;0.091326183;30.22995288;7.424978937;0.027337367;0.444229165;1.263482198;0.000993763;"Non-upwelling"
"ID142";"AK";"Non-upwelling";488.193141;3.922303637;0;0;0.804126051;6.116920265;1.058825265;0.00274892;"Marine"
"ID142";"AK";"Non-upwelling";443.4066979;5.96023852;0;0;0.388744775;4.861979482;0.812847692;0.008635782;"Marine"
"ID142";"AK";"Non-upwelling";384.1644126;4.794327878;1.507212387;0;0.529867079;3.463586561;0.71160544;0.016108926;"Marine"
"ID142";"AK";"Non-upwelling";361.0108768;3.825105787;0;0;0.288073077;5.045767188;0.803928761;0.013416949;"Marine"
"ID142";"AK";"Non-upwelling";341.3904776;4.62678057;0;3.071273565;0.567791787;6.94660461;0.89139747;0.228416851;"Non-upwelling"
"ID142";"AK";"Non-upwelling";359.9716017;6.455240937;0;0;0.187661645;4.361382479;1.03000998;0.015059005;"Marine"
"ID142";"AK";"Non-upwelling";316.4075433;2.553059955;0;0;0.485164467;6.834129231;1.246341492;0.010553789;"Non-upwelling"
"ID142";"AK";"Non-upwelling";316.655453;2.173105836;0;0;0.132517541;2.640887067;0.925093119;0.004716486;"Saline"
"ID142";"AK";"Non-upwelling";304.9211645;2.762761706;0;0;0.367531602;2.619451396;0.87279461;0.004060297;"Non-upwelling"
"ID142";"AK";"Non-upwelling";302.6319438;4.129734442;0;4.091255714;0.12431605;1.711398724;0.688269261;0.005881242;"Non-upwelling"
"ID142";"AK";"Non-upwelling";294.3034982;1.993378602;0;3.694861067;0.353657586;3.44912041;0.728623241;0.251555809;"Non-upwelling"
"ID142";"AK";"Non-upwelling";295.4275558;5.612092168;0.48941952;2.581601214;0.311605393;2.826867127;0.788919841;0.003957031;"Non-upwelling"
"ID142";"AK";"Non-upwelling";282.1954037;2.46572258;1.473577926;3.546089927;0.268738277;3.287080748;0.774523099;0.004648787;"Non-upwelling"
